esg_name,rta_id
aanzfta,437
acfta,42
afta,1170
ahkfta,994
aifta,438
ajcep,176
akfta,169
anzscep,78
ceca,10
CPTPP,640
csfta,496
esfta,65
eusfta,847
gsfta,921
jsepa,70
ksfta,28
pesfta,495
psfta,11
rcep,
safta,60
scrfta,678
sjfta,23
slsfta,
tpsep,9
trsfta,935
ukfta,1128
ussfta,58
astep,890
