,term,cumulative_delta,p_cumdelta,lag_1,p_lagone,lag_2,p_lagtwo,cumulative,p_delta
52,intellectual.property.rights_Border.Measures_cumulative,0.023830338,0.001216717,0.022326532,1.52E-05,0.020716576,0.000363641,0.014291509,1.04E-05
53,intellectual.property.rights_Consultations_cumulative,0.005000372,0.512219325,-0.01532209,2.88E-05,-0.015640238,3.50E-05,-0.000720172,0.747377168
54,intellectual.property.rights_Copyright.And.Related.Rights_cumulative,0.004941421,0.284190307,0.006618776,0.11942875,0.003330606,0.524799755,0.012851896,0.000116377
55,intellectual.property.rights_Damages_cumulative,-0.023480553,0.000261473,-0.018928334,0.10086504,-0.017757466,0.160010229,0.005147116,0.603617751
56,intellectual.property.rights_Dispute.Settlement_cumulative,0.022377256,4.17E-08,0.03681405,4.49E-06,0.037807806,0.000119536,0.011937431,0.060520343
57,intellectual.property.rights_Distribution.Right_cumulative,-0.037214492,0.26822535,-0.007418982,0.913244499,0.062767354,0.513399968,-0.010635178,0.838694008
58,intellectual.property.rights_Facilitation.of.Patenting.Process_cumulative,-0.105178093,0.010949844,0.141446977,0.015394718,0.141304974,0.018780187,0.181892526,0.001350525
59,intellectual.property.rights_Geographical.Indications_cumulative,-0.00273834,1.00E-05,-0.002120044,0.090141907,-0.002611832,0.057310181,-0.00357483,0.00040748
60,intellectual.property.rights_Intellectual.Property.Rights_cumulative,0.003429381,0.189564139,0.015603921,0.00038434,0.014235977,0.003169638,0.008609391,0.000730576
61,intellectual.property.rights_International.Agreements_cumulative,-0.009974892,0.238174577,-0.009925923,0.047914754,-0.005815628,0.422561972,-0.006831921,0.073967999
62,intellectual.property.rights_Patents_cumulative,-0.010381184,0.014894782,-0.040896159,7.05E-07,-0.028905332,0.027196684,-0.033105646,1.51E-08
63,intellectual.property.rights_Term.Of.Protection_cumulative,0.001308851,0.526466916,0.00294754,0.492133595,0.001634144,0.748537582,0.00163989,0.612897989
64,intellectual.property.rights_Trademarks_cumulative,-0.013999653,0.000775719,-0.010897051,0.000684748,-0.013669707,0.000989323,-0.012943562,2.21E-05
65,intellectual.property.rights_Unfair.Competition_cumulative,-0.014309691,0.174499961,0.007937405,0.564697997,-0.001210066,0.941655667,0.012111053,0.274320198
66,intellectual.property.rights_Border.Measures_delta,-0.059753216,0.310894637,,,,,,
67,intellectual.property.rights_Consultations_delta,0.021001092,0.405252607,,,,,,
68,intellectual.property.rights_Copyright.And.Related.Rights_delta,0.037412581,0.24039432,,,,,,
69,intellectual.property.rights_Dispute.Settlement_delta,0.010005116,0.674488921,,,,,,
70,intellectual.property.rights_Facilitation.of.Patenting.Process_delta,11.81537892,0.144872734,,,,,,
71,intellectual.property.rights_Geographical.Indications_delta,0.001879705,0.581345703,,,,,,
72,intellectual.property.rights_Intellectual.Property.Rights_delta,-0.016072186,0.2743562,,,,,,
73,intellectual.property.rights_International.Agreements_delta,0.114207245,0.018158087,,,,,,
74,intellectual.property.rights_Patents_delta,0.006537748,0.433250185,,,,,,
75,intellectual.property.rights_Term.Of.Protection_delta,-5.584791221,0.638766511,,,,,,
76,intellectual.property.rights_Trademarks_delta,-0.076397816,3.29E-05,,,,,,
77,others_Export.Quotas_cumulative,0.002095094,0.317273471,-0.010191583,0.002889245,-0.019808301,3.56E-07,-0.003629212,0.201955797
