area,catlabel
preferential tariffs,1
services,2
investment,3
movement of persons,4
intellectual property rights,5
public procurement,6
competition,8
technical barriers to trade,10
sanitary and phytosanitary measures,11
trade facilitation,12
trade remedies,13
e-commerce,14
environment,16
labour market,17
export restrictions,18
rules of origin,19
