chapter_label,chapter_cat
0,trade facilitation
1,dispute settlement
2,cooperation and integration
3,trade in services
4,procedural chapters
14,movement of natural persons
15,sanitary and phytosanitary measures
16,technical barriers to trade
17,investment and capital flows
25,intellectual property rights
34,rules of origin
94,prefential tariffs
95,public procurement
96,non-trade development issues
97,competition policy
98,e-commerce
99,trade remedies
5,trade in goods
